[ERROR] 2016-06-12 11:40:00| wrong URI, line number:2 | LoggerUtil.java.error 13
[INFO] 2016-06-12 11:40:00| [click.log-20160611.log]done,共5行 | LoggerUtil.java.info 9
[ERROR] 2016-06-12 11:40:00| wrong URI, line number:3 | LoggerUtil.java.error 13
[ERROR] 2016-06-12 11:40:00| wrong URI, line number:4 | LoggerUtil.java.error 13
[INFO] 2016-06-12 11:40:00| [impression.log-20160611.log]done,共4行 | LoggerUtil.java.info 9
[INFO] 2016-06-12 11:40:30| start report Job :Sun Jun 12 11:40:30 CST 2016 | LoggerUtil.java.info 9
[INFO] 2016-06-12 11:40:30| [click.log-20160611.log]done,共5行 | LoggerUtil.java.info 9
[ERROR] 2016-06-12 11:40:30| wrong URI, line number:2 | LoggerUtil.java.error 13
[ERROR] 2016-06-12 11:40:30| wrong URI, line number:3 | LoggerUtil.java.error 13
[ERROR] 2016-06-12 11:40:30| wrong URI, line number:4 | LoggerUtil.java.error 13
[INFO] 2016-06-12 11:40:30| [impression.log-20160611.log]done,共4行 | LoggerUtil.java.info 9
[INFO] 2016-06-12 11:41:00| start report Job :Sun Jun 12 11:41:00 CST 2016 | LoggerUtil.java.info 9
[INFO] 2016-06-12 11:41:00| [click.log-20160611.log]done,共5行 | LoggerUtil.java.info 9
[ERROR] 2016-06-12 11:41:00| wrong URI, line number:2 | LoggerUtil.java.error 13
[ERROR] 2016-06-12 11:41:00| wrong URI, line number:3 | LoggerUtil.java.error 13
[ERROR] 2016-06-12 11:41:00| wrong URI, line number:4 | LoggerUtil.java.error 13
[INFO] 2016-06-12 11:41:00| [impression.log-20160611.log]done,共4行 | LoggerUtil.java.info 9
[INFO] 2016-06-12 11:41:30| start report Job :Sun Jun 12 11:41:30 CST 2016 | LoggerUtil.java.info 9
[ERROR] 2016-06-12 11:41:30| wrong URI, line number:2 | LoggerUtil.java.error 13
[INFO] 2016-06-12 11:41:30| [click.log-20160611.log]done,共5行 | LoggerUtil.java.info 9
[ERROR] 2016-06-12 11:41:30| wrong URI, line number:3 | LoggerUtil.java.error 13
[ERROR] 2016-06-12 11:41:30| wrong URI, line number:4 | LoggerUtil.java.error 13
[INFO] 2016-06-12 11:41:30| [impression.log-20160611.log]done,共4行 | LoggerUtil.java.info 9
[INFO] 2016-06-12 11:42:00| start report Job :Sun Jun 12 11:42:00 CST 2016 | LoggerUtil.java.info 9
[INFO] 2016-06-12 11:42:00| [click.log-20160611.log]done,共5行 | LoggerUtil.java.info 9
[ERROR] 2016-06-12 11:42:00| wrong URI, line number:2 | LoggerUtil.java.error 13
[ERROR] 2016-06-12 11:42:00| wrong URI, line number:3 | LoggerUtil.java.error 13
[ERROR] 2016-06-12 11:42:00| wrong URI, line number:4 | LoggerUtil.java.error 13
[INFO] 2016-06-12 11:42:00| [impression.log-20160611.log]done,共4行 | LoggerUtil.java.info 9
[INFO] 2016-06-12 11:42:30| start report Job :Sun Jun 12 11:42:30 CST 2016 | LoggerUtil.java.info 9
[ERROR] 2016-06-12 11:42:30| wrong URI, line number:2 | LoggerUtil.java.error 13
[INFO] 2016-06-12 11:42:30| [click.log-20160611.log]done,共5行 | LoggerUtil.java.info 9
[ERROR] 2016-06-12 11:42:30| wrong URI, line number:3 | LoggerUtil.java.error 13
[ERROR] 2016-06-12 11:42:30| wrong URI, line number:4 | LoggerUtil.java.error 13
[INFO] 2016-06-12 11:42:30| [impression.log-20160611.log]done,共4行 | LoggerUtil.java.info 9
[INFO] 2016-06-12 11:43:00| start report Job :Sun Jun 12 11:43:00 CST 2016 | LoggerUtil.java.info 9
[ERROR] 2016-06-12 11:43:00| wrong URI, line number:2 | LoggerUtil.java.error 13
[INFO] 2016-06-12 11:43:00| [click.log-20160611.log]done,共5行 | LoggerUtil.java.info 9
[ERROR] 2016-06-12 11:43:00| wrong URI, line number:3 | LoggerUtil.java.error 13
[ERROR] 2016-06-12 11:43:00| wrong URI, line number:4 | LoggerUtil.java.error 13
[INFO] 2016-06-12 11:43:00| [impression.log-20160611.log]done,共4行 | LoggerUtil.java.info 9
[INFO] 2016-06-12 11:43:30| start report Job :Sun Jun 12 11:43:30 CST 2016 | LoggerUtil.java.info 9
[INFO] 2016-06-12 11:43:30| [click.log-20160611.log]done,共5行 | LoggerUtil.java.info 9
[ERROR] 2016-06-12 11:43:30| wrong URI, line number:2 | LoggerUtil.java.error 13
[ERROR] 2016-06-12 11:43:30| wrong URI, line number:3 | LoggerUtil.java.error 13
[ERROR] 2016-06-12 11:43:30| wrong URI, line number:4 | LoggerUtil.java.error 13
[INFO] 2016-06-12 11:43:30| [impression.log-20160611.log]done,共4行 | LoggerUtil.java.info 9
[INFO] 2016-06-12 11:44:00| start report Job :Sun Jun 12 11:44:00 CST 2016 | LoggerUtil.java.info 9
[INFO] 2016-06-12 11:44:00| [click.log-20160611.log]done,共5行 | LoggerUtil.java.info 9
[ERROR] 2016-06-12 11:44:00| wrong URI, line number:2 | LoggerUtil.java.error 13
[ERROR] 2016-06-12 11:44:00| wrong URI, line number:3 | LoggerUtil.java.error 13
[ERROR] 2016-06-12 11:44:00| wrong URI, line number:4 | LoggerUtil.java.error 13
[INFO] 2016-06-12 11:44:00| [impression.log-20160611.log]done,共4行 | LoggerUtil.java.info 9
[INFO] 2016-06-12 11:44:30| start report Job :Sun Jun 12 11:44:30 CST 2016 | LoggerUtil.java.info 9
[INFO] 2016-06-12 11:44:30| [click.log-20160611.log]done,共5行 | LoggerUtil.java.info 9
[ERROR] 2016-06-12 11:44:30| wrong URI, line number:2 | LoggerUtil.java.error 13
[ERROR] 2016-06-12 11:44:30| wrong URI, line number:3 | LoggerUtil.java.error 13
[ERROR] 2016-06-12 11:44:30| wrong URI, line number:4 | LoggerUtil.java.error 13
[INFO] 2016-06-12 11:44:30| [impression.log-20160611.log]done,共4行 | LoggerUtil.java.info 9
[INFO] 2016-06-12 11:45:00| start report Job :Sun Jun 12 11:45:00 CST 2016 | LoggerUtil.java.info 9
[INFO] 2016-06-12 11:45:00| [click.log-20160611.log]done,共5行 | LoggerUtil.java.info 9
[ERROR] 2016-06-12 11:45:00| wrong URI, line number:2 | LoggerUtil.java.error 13
[ERROR] 2016-06-12 11:45:00| wrong URI, line number:3 | LoggerUtil.java.error 13
[ERROR] 2016-06-12 11:45:00| wrong URI, line number:4 | LoggerUtil.java.error 13
[INFO] 2016-06-12 11:45:00| [impression.log-20160611.log]done,共4行 | LoggerUtil.java.info 9
[INFO] 2016-06-12 11:45:30| start report Job :Sun Jun 12 11:45:30 CST 2016 | LoggerUtil.java.info 9
[INFO] 2016-06-12 11:45:30| [click.log-20160611.log]done,共5行 | LoggerUtil.java.info 9
[ERROR] 2016-06-12 11:45:30| wrong URI, line number:2 | LoggerUtil.java.error 13
[ERROR] 2016-06-12 11:45:30| wrong URI, line number:3 | LoggerUtil.java.error 13
[ERROR] 2016-06-12 11:45:30| wrong URI, line number:4 | LoggerUtil.java.error 13
[INFO] 2016-06-12 11:45:30| [impression.log-20160611.log]done,共4行 | LoggerUtil.java.info 9
[INFO] 2016-06-12 11:46:00| start report Job :Sun Jun 12 11:46:00 CST 2016 | LoggerUtil.java.info 9
[ERROR] 2016-06-12 11:46:00| wrong URI, line number:2 | LoggerUtil.java.error 13
[INFO] 2016-06-12 11:46:00| [click.log-20160611.log]done,共5行 | LoggerUtil.java.info 9
[ERROR] 2016-06-12 11:46:00| wrong URI, line number:3 | LoggerUtil.java.error 13
[ERROR] 2016-06-12 11:46:00| wrong URI, line number:4 | LoggerUtil.java.error 13
[INFO] 2016-06-12 11:46:00| [impression.log-20160611.log]done,共4行 | LoggerUtil.java.info 9
[INFO] 2016-06-12 11:46:30| start report Job :Sun Jun 12 11:46:30 CST 2016 | LoggerUtil.java.info 9
[INFO] 2016-06-12 11:46:30| [click.log-20160611.log]done,共5行 | LoggerUtil.java.info 9
[ERROR] 2016-06-12 11:46:30| wrong URI, line number:2 | LoggerUtil.java.error 13
